日付,【得意先】,伝票番号,商品名,数量,単位,単価,金額,粗利
2020-08-19,三機工業　株式会社　（浅川/岩月）,377031,ドラム缶,3 ,個,3000 ,9900 ,11000 
2020-08-19,三機工業　株式会社　（浅川/岩月）,377031,フレコン,10 ,枚,800 ,8800 ,5500 
2020-09-16,三機工業　株式会社　（浅川/岩月）,380452,コンクリ－トがら　無筋,2550 ,kg,3 ,8415 ,9900 
2020-09-16,三機工業　株式会社　（浅川/岩月）,380454,コンクリ－トがら　無筋,2400 ,kg,3 ,7920 ,8800 
2020-08-18,三機工業　株式会社　（南プラ/橘）,377036,コンテナ用シート,3 ,枚,15000 ,49500 ,8415 
2020-09-02,三機工業　株式会社　（南プラ/橘）,378974,コンクリ－トがら　無筋,2140 ,kg,3 ,7062 ,7920 
2020-07-15,三機工業　株式会社　（新河岸/赤城）,372968,コンテナ設置費,1 ,台,12000 ,13200 ,49500 
2020-07-21,三機工業　株式会社　（新河岸/赤城）,372978,運搬費（4ｔｃ）,1 ,台,21000 ,23100 ,7062 
2020-07-28,三機工業　株式会社　（新河岸/赤城）,373866,運搬費（スクラップ）,1 ,台,25000 ,27500 ,13200 
2020-07-31,三機工業　株式会社　（新河岸/赤城）,374449,運搬費（ｽｸﾗｯﾌﾟ）,1 ,台,25000 ,27500 ,23100 
2020-08-17,三機工業　株式会社　（新河岸/赤城）,376384,運搬費（10ｔｄ）,1 ,台,35000 ,38500 ,27500 
2020-08-18,三機工業　株式会社　（新河岸/赤城）,376309,運搬費（4ｔｃ）,1 ,台,21000 ,23100 ,27500 
2020-08-18,三機工業　株式会社　（新河岸/赤城）,376387,運搬費（10ｔｄ）,1 ,台,35000 ,38500 ,38500 
2020-08-19,三機工業　株式会社　（新河岸/赤城）,376484,運搬費（ｽｸﾗｯﾌﾟ）,1 ,台,25000 ,27500 ,23100 
2020-08-24,三機工業　株式会社　（新河岸/赤城）,377069,運搬費（4ｔｃ）,1 ,台,21000 ,23100 ,38500 
2020-09-01,三機工業　株式会社　（新河岸/赤城）,378117,運搬費（4ｔｃ）,1 ,台,21000 ,23100 ,27500 
2020-07-03,三機工業　株式会社　（多摩川/尾久）,371066,運搬費（4ｔﾕﾆｯｸ）,1 ,台,35000 ,38500 ,23100 
2020-07-03,三機工業　株式会社　（多摩川/尾久）,371415,運搬費（4ｔｄ）,1 ,台,25000 ,27500 ,23100 
