日付,得意先,,,商品名,,,,,,,,,,数量,,,,,,単価,,,,,金額
2020/12/17,メタウォーター株式会社,,,時間割増,,,,,,,,,,1,,,,,,5000,,,,,5500
2020/12/18,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2020/12/21,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2020/12/21,メタウォーター株式会社,,,蛍光管,,,,,,,,,,2,,,,,,200,,,,,440
2020/12/21,メタウォーター株式会社,,,コンテナ設置費,,,,,,,,,,1,,,,,,10000,,,,,11000
2020/12/22,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2020/12/22,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/12/23,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/12/23,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2020/12/24,メタウォーター株式会社,,,蛍光管,,,,,,,,,,3,,,,,,200,,,,,660
2020/12/24,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/12/24,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/12/24,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/12/25,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/01/06,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2021/01/07,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/01/07,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/01/08,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/01/08,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2021/01/13,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,50000,,,,,55000
2021/01/14,メタウォーター株式会社,,,コンクリ－トがら,,,,,,,,,,8300,,,,,,2.5,,,,,22825
2021/01/14,メタウォーター株式会社,,,運搬費（ﾕﾆｯｸ積込作業）,,,,,,,,,,1,,,,,,50000,,,,,55000
2021/01/15,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/01/15,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2021/01/26,メタウォーター株式会社,,,コンクリ－トがら　有筋,,,,,,,,,,1500,,,,,,4.5,,,,,7425
2021/01/27,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/01/27,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,22000,,,,,24200
2021/01/28,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2021/01/29,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/02/02,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/02/03,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/02/03,メタウォーター株式会社,,,コンクリ－トがら,,,,,,,,,,1400,,,,,,2.5,,,,,3850
2021/02/03,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,21000,,,,,23100
2021/02/05,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2021/02/05,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2021/02/05,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/02/05,メタウォーター株式会社,,,コンクリ－トがら,,,,,,,,,,1400,,,,,,2.5,,,,,3850
2021/02/05,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,50000,,,,,55000
2021/02/05,メタウォーター株式会社,,,石綿含有産業廃棄物（特管）,,,,,,,,,,1,,,,,,65000,,,,,71500
2021/02/08,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/02/08,メタウォーター株式会社,,,コンクリ－トがら,,,,,,,,,,1200,,,,,,2.5,,,,,3300
2021/02/09,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,40000,,,,,44000
2021/02/15,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/02/15,メタウォーター株式会社,,,コンテナ設置費,,,,,,,,,,1,,,,,,31000,,,,,34100
2021/02/16,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/02/17,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/02/17,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2021/02/17,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2021/02/18,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/02/19,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/02/19,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2021/02/19,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2021/02/22,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/02/24,メタウォーター株式会社,,,運搬費（常用）,,,,,,,,,,1,,,,,,50000,,,,,55000
2021/02/25,メタウォーター株式会社,,,水銀灯,,,,,,,,,,1,,,,,,350,,,,,385
2021/02/25,メタウォーター株式会社,,,蛍光管,,,,,,,,,,1,,,,,,200,,,,,220
2021/02/26,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/03/01,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2021/03/02,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2021/03/02,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/03/03,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/03/03,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2021/03/03,メタウォーター株式会社,,,コンクリ－トがら,,,,,,,,,,400,,,,,,2.5,,,,,1100
2021/03/03,メタウォーター株式会社,,,コンクリ－トがら,,,,,,,,,,1400,,,,,,2.5,,,,,3850
2021/03/03,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2021/03/04,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
