日付,,得意先,,,商品名,,,,,,,,数量,,単位,,単価,,金額
2021/02/17,,メタウォーター,,,18-8ステン解体,,,,,,,,4010 ,,kg,,90,,396990
2021/02/17,,メタウォーター,,,ギロ材,,,,,,,,4360 ,,kg,,29,,139084
2021/02/17,,メタウォーター,,,18-8ステン解体,,,,,,,,2430 ,,kg,,90,,240570
2021/02/17,,メタウォーター,,,ギロ材,,,,,,,,6650 ,,kg,,29,,212135
2021/02/17,,メタウォーター,,,18-8ステン解体,,,,,,,,1600 ,,kg,,90,,158400
2021/02/18,,メタウォーター,,,千地,,,,,,,,2500 ,,kg,,10,,27500
2021/02/18,,メタウォーター,,,18-8ステン解体,,,,,,,,4490 ,,kg,,90,,444510
2021/02/18,,メタウォーター,,,18-8ステン解体,,,,,,,,3970 ,,kg,,90,,393030
2021/02/18,,メタウォーター,,,ギロ材,,,,,,,,3290 ,,kg,,29,,104951
2021/02/18,,メタウォーター,,,18-8ステン解体,,,,,,,,860 ,,kg,,90,,85140
2021/02/18,,メタウォーター,,,ガス切,,,,,,,,4040 ,,kg,,24,,106656
2021/02/18,,メタウォーター,,,ギロ材,,,,,,,,3330 ,,kg,,29,,106227
2021/02/18,,メタウォーター,,,18-8ステン解体,,,,,,,,5140 ,,kg,,90,,508860
2021/02/19,,メタウォーター,,,ギロ材,,,,,,,,2390 ,,kg,,31,,81499
2021/02/19,,メタウォーター,,,千地,,,,,,,,310 ,,kg,,10,,3410
2021/02/19,,メタウォーター,,,ギロ材,,,,,,,,7640 ,,kg,,31,,260524
2021/02/19,,メタウォーター,,,18-8ステン解体,,,,,,,,1430 ,,kg,,90,,141570
2021/02/19,,メタウォーター,,,ギロ材,,,,,,,,6580 ,,kg,,31,,224378
2021/02/19,,メタウォーター,,,18-8ステン解体,,,,,,,,1500 ,,kg,,90,,148500
2021/02/19,,メタウォーター,,,雑品,,,,,,,,1640 ,,kg,,15,,27060
2021/02/22,,メタウォーター,,,ギロ材,,,,,,,,1430 ,,kg,,31,,48763
2021/02/22,,メタウォーター,,,ギロ材,,,,,,,,8690 ,,kg,,31,,296329
2021/02/22,,メタウォーター,,,ギロ材,,,,,,,,3270 ,,kg,,31,,111507
2021/02/22,,メタウォーター,,,ガス切,,,,,,,,3210 ,,kg,,26,,91806
2021/02/22,,メタウォーター,,,18-8ステン解体,,,,,,,,300 ,,kg,,90,,29700
2021/02/22,,メタウォーター,,,ギロ材,,,,,,,,10360 ,,kg,,31,,353276
2021/02/22,,メタウォーター,,,ギロ材,,,,,,,,7620 ,,kg,,31,,259842
2021/02/22,,メタウォーター,,,18-8ステン解体,,,,,,,,1140 ,,kg,,90,,112860
2021/02/22,,メタウォーター,,,雑品,,,,,,,,730 ,,kg,,15,,12045
2021/02/22,,メタウォーター,,,ギロ材,,,,,,,,2180 ,,kg,,31,,74338
2021/02/22,,メタウォーター,,,18-8ステン解体,,,,,,,,2470 ,,kg,,90,,244530
2021/02/22,,メタウォーター,,,ギロ材,,,,,,,,1710 ,,kg,,31,,58311
2021/02/24,,メタウォーター,,,ギロ材,,,,,,,,1200 ,,kg,,31.5,,41580
2021/02/24,,メタウォーター,,,雑品,,,,,,,,290 ,,kg,,15,,4785
2021/02/24,,メタウォーター,,,ガス切,,,,,,,,3750 ,,kg,,26.5,,109312
2021/02/24,,メタウォーター,,,ガス切,,,,,,,,4190 ,,kg,,26.5,,122138
2021/02/24,,メタウォーター,,,ギロ材,,,,,,,,10830 ,,kg,,31.5,,375259
2021/02/24,,メタウォーター,,,ギロ材,,,,,,,,6550 ,,kg,,31.5,,226957
2021/02/24,,メタウォーター,,,18-8ステン解体,,,,,,,,400 ,,kg,,90,,39600
2021/02/24,,メタウォーター,,,雑品,,,,,,,,920 ,,kg,,15,,15180
2021/02/24,,メタウォーター,,,ガス切,,,,,,,,3300 ,,kg,,26.5,,96195
2021/02/24,,メタウォーター,,,18-8ステン解体,,,,,,,,2750 ,,kg,,90,,272250
2021/02/24,,メタウォーター,,,雑品,,,,,,,,1200 ,,kg,,15,,19800
2021/02/24,,メタウォーター,,,ギロ材,,,,,,,,5480 ,,kg,,31.5,,189882
2021/02/24,,メタウォーター,,,18-8ステン解体,,,,,,,,570 ,,kg,,90,,56430
2021/02/25,,メタウォーター,,,ギロ材,,,,,,,,90 ,,kg,,32,,3168
2021/02/25,,メタウォーター,,,18-8ステン解体,,,,,,,,4 ,,kg,,90,,396
2021/02/25,,メタウォーター,,,雑品,,,,,,,,18 ,,kg,,15,,297
2021/02/25,,メタウォーター,,,ビス付サッシ,,,,,,,,68 ,,kg,,100,,7480
2021/02/25,,メタウォーター,,,雑線,,,,,,,,555 ,,kg,,325,,198412
2021/02/25,,メタウォーター,,,ギロ材,,,,,,,,6630 ,,kg,,32,,233376
2021/02/25,,メタウォーター,,,18-8ステン解体,,,,,,,,800 ,,kg,,90,,79200
2021/02/25,,メタウォーター,,,ギロ材,,,,,,,,7330 ,,kg,,32,,258016
2021/02/25,,メタウォーター,,,18-8ステン解体,,,,,,,,420 ,,kg,,90,,41580
2021/02/25,,メタウォーター,,,ガス切,,,,,,,,3060 ,,kg,,27,,90882
2021/02/25,,メタウォーター,,,雑品,,,,,,,,4340 ,,kg,,15,,71610
2021/02/25,,メタウォーター,,,18-8ステン解体,,,,,,,,3550 ,,kg,,90,,351450
2021/02/25,,メタウォーター,,,ギロ材,,,,,,,,6460 ,,kg,,32,,227392
2021/02/25,,メタウォーター,,,18-8ステン解体,,,,,,,,3250 ,,kg,,90,,321750
2021/02/25,,メタウォーター,,,ギロ材,,,,,,,,950 ,,kg,,32,,33440
2021/02/25,,メタウォーター,,,18-8ステン解体,,,,,,,,1170 ,,kg,,90,,115830
2021/02/25,,メタウォーター,,,ギロ材,,,,,,,,740 ,,kg,,32,,26048
2021/02/25,,メタウォーター,,,雑品,,,,,,,,90 ,,kg,,15,,1485
2021/02/26,,メタウォーター,,,ギロ材,,,,,,,,1890 ,,kg,,32,,66528
2021/03/01,,メタウォーター,,,ギロ材,,,,,,,,2040 ,,kg,,33,,74052
2021/03/01,,メタウォーター,,,ギロ材,,,,,,,,4320 ,,kg,,33,,156816
2021/03/01,,メタウォーター,,,ガス切,,,,,,,,4800 ,,kg,,28,,147840
2021/03/02,,メタウォーター,,,ギロ材,,,,,,,,1400 ,,kg,,33,,50820
2021/03/02,,メタウォーター,,,雑品,,,,,,,,930 ,,kg,,15,,15345
2021/03/02,,メタウォーター,,,ギロ材,,,,,,,,8950 ,,kg,,33,,324885
2021/03/02,,メタウォーター,,,ガス切,,,,,,,,9180 ,,kg,,28,,282744
2021/03/03,,メタウォーター,,,ギロ材,,,,,,,,9710 ,,kg,,33.5,,357813
2021/03/03,,メタウォーター,,,ギロ材,,,,,,,,9430 ,,kg,,33.5,,347495
2021/03/03,,メタウォーター,,,18-8ステン解体,,,,,,,,710 ,,kg,,90,,70290
2021/03/04,,メタウォーター,,,ギロ材,,,,,,,,3830 ,,kg,,33.5,,141135
2021/03/04,,メタウォーター,,,ギロ材,,,,,,,,10100 ,,kg,,33.5,,372185
2021/03/04,,メタウォーター,,,18-8ステン解体,,,,,,,,200 ,,kg,,90,,19800
2021/03/04,,メタウォーター,,,ギロ材,,,,,,,,7240 ,,kg,,33.5,,266794
2021/03/04,,メタウォーター,,,ガス切,,,,,,,,1760 ,,kg,,28.5,,55176
2021/03/05,,メタウォーター,,,ギロ材,,,,,,,,4070 ,,kg,,34.5,,154456
2021/03/05,,メタウォーター,,,ガス切,,,,,,,,5780 ,,kg,,29.5,,187561
2021/03/05,,メタウォーター,,,ギロ材,,,,,,,,4370 ,,kg,,34.5,,165841
2021/03/05,,メタウォーター,,,ガス切,,,,,,,,3870 ,,kg,,29.5,,125581
2021/03/05,,メタウォーター,,,雑品,,,,,,,,1090 ,,kg,,15,,17985
2021/03/08,,メタウォーター,,,ギロ材,,,,,,,,490 ,,kg,,34.5,,18595
2021/03/08,,メタウォーター,,,雑線,,,,,,,,910 ,,kg,,325,,325325
2021/03/08,,メタウォーター,,,雑品,,,,,,,,60 ,,kg,,15,,990
2021/03/09,,メタウォーター,,,ギロ材,,,,,,,,9730 ,,kg,,34.5,,369253
2021/03/09,,メタウォーター,,,ガス切,,,,,,,,1050 ,,kg,,29.5,,34072
2021/03/09,,メタウォーター,,,ガス切,,,,,,,,4410 ,,kg,,29.5,,143104
2021/03/09,,メタウォーター,,,ギロ材,,,,,,,,4810 ,,kg,,34.5,,182539
